SAMPLE_ID	mutations	cna
TARGET-20-PAKLPD-09	NA	WXS/WGS
TARGET-20-PAKRZG-04	NA	NA
TARGET-20-PAKRZG-09	NA	WXS/WGS
TARGET-20-PAKSMZ-03	WXS/WGS	NA
TARGET-20-PAKTCX-04	NA	NA
TARGET-20-PAKTCX-09	WXS/WGS	NA
TARGET-20-PAKVGI-09	WXS/WGS	NA
TARGET-20-PAKXJR-09	NA	WXS/WGS
TARGET-20-PAKXVC-09	NA	WXS/WGS
TARGET-20-PALGKX-04	NA	NA
TARGET-20-PALGKX-09	WXS/WGS	WXS/WGS
TARGET-20-PAMVKZ-09	WXS/WGS	WXS/WGS
TARGET-20-PAMVVP-09	NA	WXS/WGS
TARGET-20-PAMYAS-04	NA	NA
TARGET-20-PAMYAS-09	WXS/WGS	NA
TARGET-20-PAMYGX-09	WXS/WGS	WXS/WGS
TARGET-20-PAMYJX-09	NA	NA
TARGET-20-PAMYVU-09	NA	WXS/WGS
TARGET-20-PANAEV-09	WXS/WGS	WXS/WGS
TARGET-20-PANASY-09	NA	WXS/WGS
TARGET-20-PANBYS-09	NA	WXS/WGS
TARGET-20-PANBZH-09	WXS/WGS	WXS/WGS
TARGET-20-PANCSC-04	NA	NA
TARGET-20-PANCSC-09	WXS/WGS	WXS/WGS
TARGET-20-PANDDC-09	NA	WXS/WGS
TARGET-20-PANDER-09	WXS/WGS	NA
TARGET-20-PANDIX-09	WXS/WGS	NA
TARGET-20-PANFMG-09	WXS/WGS	WXS/WGS
TARGET-20-PANGCM-03	NA	WXS/WGS
TARGET-20-PANGDN-09	WXS/WGS	NA
TARGET-20-PANGFV-03	NA	WXS/WGS
TARGET-20-PANGJY-09	WXS/WGS	WXS/WGS
TARGET-20-PANGTF-09	WXS/WGS	WXS/WGS
TARGET-20-PANHWD-09	NA	WXS/WGS
TARGET-20-PANHYK-09	WXS/WGS	WXS/WGS
TARGET-20-PANILV-09	NA	WXS/WGS
TARGET-20-PANINI-09	WXS/WGS	WXS/WGS
TARGET-20-PANJGR-09	WXS/WGS	WXS/WGS
TARGET-20-PANJVI-03	NA	WXS/WGS
TARGET-20-PANKFG-09	WXS/WGS	WXS/WGS
TARGET-20-PANKFZ-09	WXS/WGS	WXS/WGS
TARGET-20-PANKKE-09	WXS/WGS	WXS/WGS
TARGET-20-PANKNB-09	WXS/WGS	WXS/WGS
TARGET-20-PANLIR-09	WXS/WGS	NA
TARGET-20-PANLIZ-04	NA	NA
TARGET-20-PANLIZ-09	WXS/WGS	NA
TARGET-20-PANLJK-09	NA	WXS/WGS
TARGET-20-PANLJN-09	NA	WXS/WGS
TARGET-20-PANLKB-09	WXS/WGS	WXS/WGS
TARGET-20-PANLLX-09	WXS/WGS	NA
TARGET-20-PANLRE-09	WXS/WGS	WXS/WGS
TARGET-20-PANLXK-09	NA	WXS/WGS
TARGET-20-PANLXM-09	WXS/WGS	NA
TARGET-20-PANMEM-03	NA	NA
TARGET-20-PANNBM-09	NA	WXS/WGS
TARGET-20-PANNHB-09	WXS/WGS	WXS/WGS
TARGET-20-PANNJI-09	WXS/WGS	WXS/WGS
TARGET-20-PANPKN-09	WXS/WGS	WXS/WGS
TARGET-20-PANPLS-03	WXS/WGS	WXS/WGS
TARGET-20-PANPMY-09	NA	WXS/WGS
TARGET-20-PANPSF-09	NA	WXS/WGS
TARGET-20-PANPSV-03	NA	WXS/WGS
TARGET-20-PANPTM-09	NA	WXS/WGS
TARGET-20-PANSBH-04	NA	NA
TARGET-20-PANSBH-09	WXS/WGS	WXS/WGS
TARGET-20-PANSJB-09	WXS/WGS	NA
TARGET-20-PANTNA-09	NA	WXS/WGS
TARGET-20-PANTPW-09	WXS/WGS	WXS/WGS
TARGET-20-PANTRL-09	NA	WXS/WGS
TARGET-20-PANTWV-04	NA	NA
TARGET-20-PANTWV-09	NA	WXS/WGS
TARGET-20-PANUTB-09	WXS/WGS	WXS/WGS
TARGET-20-PANUUA-09	WXS/WGS	WXS/WGS
TARGET-20-PANVBP-09	NA	WXS/WGS
TARGET-20-PANVGE-09	WXS/WGS	WXS/WGS
TARGET-20-PANVGP-03	NA	NA
TARGET-20-PANVGP-09	WXS/WGS	WXS/WGS
TARGET-20-PANVUF-09	NA	WXS/WGS
TARGET-20-PANWHP-09	NA	WXS/WGS
TARGET-20-PANXAF-03	NA	WXS/WGS
TARGET-20-PANYCG-09	NA	NA
TARGET-20-PANYGP-09	WXS/WGS	WXS/WGS
TARGET-20-PANYNR-09	WXS/WGS	WXS/WGS
TARGET-20-PANYSN-03	NA	WXS/WGS
TARGET-20-PANZCU-03	NA	WXS/WGS
TARGET-20-PANZKA-09	WXS/WGS	WXS/WGS
TARGET-20-PANZWB-09	WXS/WGS	WXS/WGS
TARGET-20-PAPAJE-09	NA	WXS/WGS
TARGET-20-PAPAWN-09	WXS/WGS	WXS/WGS
TARGET-20-PAPBEJ-09	WXS/WGS	NA
TARGET-20-PAPVCN-09	WXS/WGS	WXS/WGS
TARGET-20-PAPVDV-09	WXS/WGS	WXS/WGS
TARGET-20-PAPVGE-09	NA	WXS/WGS
TARGET-20-PAPVKG-09	NA	WXS/WGS
TARGET-20-PAPVZK-09	WXS/WGS	WXS/WGS
TARGET-20-PAPWHS-09	WXS/WGS	WXS/WGS
TARGET-20-PAPWIU-09	NA	WXS/WGS
TARGET-20-PAPWYK-09	WXS/WGS	WXS/WGS
TARGET-20-PAPXRJ-04	NA	NA
TARGET-20-PAPXRJ-09	WXS/WGS	NA
TARGET-20-PAPXWI-09	WXS/WGS	WXS/WGS
TARGET-20-PAPYFJ-09	NA	WXS/WGS
TARGET-20-PAPZIZ-09	NA	WXS/WGS
TARGET-20-PAPZLT-09	NA	WXS/WGS
TARGET-20-PARAHF-09	NA	NA
TARGET-20-PARAJX-09	WXS/WGS	WXS/WGS
TARGET-20-PARANT-09	NA	WXS/WGS
TARGET-20-PARASV-03	WXS/WGS	WXS/WGS
TARGET-20-PARBFJ-09	WXS/WGS	WXS/WGS
TARGET-20-PARBFZ-03	NA	WXS/WGS
TARGET-20-PARBIU-04	NA	NA
TARGET-20-PARBIU-09	WXS/WGS	WXS/WGS
TARGET-20-PARBRA-04	NA	NA
TARGET-20-PARBRA-09	WXS/WGS	WXS/WGS
TARGET-20-PARBTC-03	NA	NA
TARGET-20-PARBVE-09	NA	WXS/WGS
TARGET-20-PARBXE-09	WXS/WGS	WXS/WGS
TARGET-20-PARCCH-03	WXS/WGS	NA
